vol_ratio,turnover_rate,pe_ttm,pct_chg_1d,pct_chg_5d,pct_chg_20d,ma5_slope,ma20_slope,bias_5,bias_20,rsi_14,std_20_ratio,position_20d,position_250d,macd_dif,macd_dea,macd_hist,index_pct_chg,sector_pct_chg,moneyflow_score,tech_score,new_score,label,trade_date,ts_code
1.0,0.0,0.0,-2.1921,-8.916243,3.726493,-1.8888326,0.18226191,-1.6659125,1.280188,59.724953,6.2790027,0.48986465,0.0,0.65981704,0.61240256,0.094828956,0.0,0.0,0.0,0.0,0.0,0,20230403,002938.SZ
1.0,0.0,0.0,2.9528,2.6832416,-0.31766292,0.53770405,-0.016436063,2.3349829,3.1693811,66.19044,1.2444326,1.0,0.0,-0.042483997,-0.11103804,0.13710809,0.0,0.0,0.0,0.0,0.0,0,20230403,601788.SH
1.0,0.0,0.0,-1.0676,3.92523,9.019605,0.76086885,0.4197462,-0.035958506,1.0449784,51.408443,2.6249204,0.71428573,0.0,0.7028091,0.8209155,-0.2362129,0.0,0.0,0.0,0.0,0.0,1,20230403,600028.SH
1.0,0.0,0.0,3.3855,5.51684,-2.4167597,1.1012256,-0.1274988,4.1648693,3.0936575,54.041344,2.65669,0.8761187,0.0,-3.0403328,-4.0668087,2.052952,0.0,0.0,0.0,0.0,0.0,0,20230403,002738.SZ
1.0,0.0,0.0,-2.2571,-0.018470997,0.80074453,-0.003666165,0.040274978,-0.7735748,1.358499,54.888096,1.8553387,0.65753365,0.0,-0.17040648,-1.3734684,2.4061239,0.0,0.0,0.0,0.0,0.0,1,20230403,002352.SZ
1.0,0.0,0.0,4.8611,6.197808,16.714975,1.2403249,0.7983571,4.9613366,10.610052,74.40476,5.469886,1.0,0.0,1.596062,1.1043481,0.9834279,0.0,0.0,0.0,0.0,0.0,0,20230403,300052.SZ
1.0,0.0,0.0,4.2345,2.863817,-6.9275565,0.58246547,-0.37491798,4.000473,1.1203665,48.798798,3.3472934,0.48445567,0.0,-4.747852,-5.2749867,1.0542694,0.0,0.0,0.0,0.0,0.0,0,20230403,000831.SZ
1.0,0.0,0.0,10.0213,11.930584,11.206901,2.4012222,0.5782598,9.997868,14.102493,71.95121,4.1444745,1.0,0.0,0.42254868,-0.37934473,1.6037868,0.0,0.0,0.0,0.0,0.0,0,20230403,002474.SZ
1.0,0.0,0.0,5.3478,-4.14084,25.004297,-0.8778548,1.1810768,2.5102232,16.712963,74.669945,10.759227,0.8365435,0.0,3.9663432,2.836252,2.2601824,0.0,0.0,0.0,0.0,0.0,0,20230403,300676.SZ
1.0,0.0,0.0,3.6243,-8.539638,-4.390806,-1.8733218,-0.22962262,2.2324507,0.23015459,55.14604,4.6062984,0.41965988,0.0,0.34431782,0.9257316,-1.1628276,0.0,0.0,0.0,0.0,0.0,0,20230403,002362.SZ
1.0,0.0,0.0,2.2989,-0.05910166,22.005775,-0.011868029,0.92224437,0.35608312,1.3287808,46.298798,7.029099,0.6763225,0.0,5.8840294,7.4807796,-3.1935003,0.0,0.0,0.0,0.0,0.0,1,20230403,000032.SZ
1.0,0.0,0.0,5.9065,7.5319314,-5.5996914,1.4930874,-0.3058821,5.014639,3.4484205,49.440296,5.45969,0.6484495,0.0,-1.7386698,-2.2101448,0.94294983,0.0,0.0,0.0,0.0,0.0,0,20230403,300724.SZ
1.0,0.0,0.0,-2.2679,-1.4885604,16.614227,-0.29742748,0.72643244,-1.2891473,1.2402383,54.98653,7.175987,0.6300814,0.0,3.7045486,4.269595,-1.1300931,0.0,0.0,0.0,0.0,0.0,1,20230403,000810.SZ
1.0,0.0,0.0,4.5833,18.886917,81.55515,3.6729999,3.1577106,11.505998,36.288055,86.90783,19.32979,1.0,0.0,4.3570743,3.5297868,1.6545752,0.0,0.0,0.0,0.0,0.0,0,20230404,601360.SH
1.0,0.0,0.0,3.8109,15.397152,32.600048,2.9972649,1.4283078,9.049615,14.556059,73.865036,7.7572165,1.0,0.0,2.3925037,2.0486298,0.687748,0.0,0.0,0.0,0.0,0.0,1,20230404,688981.SH
1.0,0.0,0.0,6.9018,8.5669775,13.149349,1.736659,0.6071508,8.162629,3.8593328,47.22222,5.2890553,0.74166644,0.0,0.15628086,0.22779664,-0.14303158,0.0,0.0,0.0,0.0,0.0,1,20230404,601728.SH
1.0,0.0,0.0,0.7258,15.863373,30.749458,3.1336672,1.4658742,10.961693,22.859615,80.06969,10.190605,1.0,0.0,8.585334,4.9191113,7.3324456,0.0,0.0,0.0,0.0,0.0,0,20230404,300339.SZ
1.0,0.0,0.0,-0.7236,10.6451645,26.919525,2.029521,1.2268475,3.3755314,14.284133,71.555115,9.094005,0.97101456,0.0,10.354848,9.158512,2.3926725,0.0,0.0,0.0,0.0,0.0,0,20230404,603019.SH
