ts_code,name,strategy,close,pct_chg,vol_ratio,patterns,position_ratio,reason
600744.SH,华银电力,☆缩量洗盘,6.47,-0.3082,0.57,连续缩量+地量+缩量,0.24,"上升趋势中缩量回调,支撑有效"
000008.SZ,神州高铁,☆缩量洗盘,3.19,-0.3125,0.75,连续缩量+地量+缩量,0.56,"上升趋势中缩量回调,支撑有效"
601108.SH,财通证券,☆缩量洗盘,9.23,-0.324,0.74,连续缩量+缩量,0.65,"上升趋势中缩量回调,支撑有效"
605377.SH,华旺科技,☆缩量洗盘,8.57,-0.3488,0.77,地量+缩量,0.43,"上升趋势中缩量回调,支撑有效"
000839.SZ,国安股份,☆缩量洗盘,2.85,-0.3497,0.45,连续缩量+地量+缩量,0.47,"上升趋势中缩量回调,支撑有效"
600037.SH,歌华有线,☆缩量洗盘,8.0,-0.3736,0.65,连续缩量+地量+缩量,0.33,"上升趋势中缩量回调,支撑有效"
002376.SZ,新北洋,☆缩量洗盘,7.97,-0.375,0.61,连续缩量+地量+缩量,0.49,"上升趋势中缩量回调,支撑有效"
603219.SH,富佳股份,☆缩量洗盘,18.53,-0.3763,0.77,连续缩量+地量+平量+缩量,0.42,"上升趋势中缩量回调,支撑有效"
002763.SZ,汇洁股份,☆缩量洗盘,7.84,-0.3812,0.79,地量+缩量,0.47,"上升趋势中缩量回调,支撑有效"
002783.SZ,凯龙股份,☆缩量洗盘,10.36,-0.3846,0.43,连续缩量+地量+缩量,0.62,"上升趋势中缩量回调,支撑有效"
002884.SZ,凌霄泵业,☆缩量洗盘,17.73,-0.3933,0.76,连续缩量+地量+缩量,0.6,"上升趋势中缩量回调,支撑有效"
002399.SZ,海普瑞,☆缩量洗盘,12.31,-0.4045,0.91,连续缩量,0.38,"上升趋势中缩量回调,支撑有效"
002033.SZ,丽江股份,☆缩量洗盘,9.39,-0.4242,0.79,连续缩量+地量+缩量,0.52,"上升趋势中缩量回调,支撑有效"
000676.SZ,智度股份,☆缩量洗盘,9.37,-0.4251,0.93,连续缩量+平量,0.27,"上升趋势中缩量回调,支撑有效"
000670.SZ,盈方微,☆缩量洗盘,9.08,-0.4386,0.66,连续缩量+缩量,0.48,"上升趋势中缩量回调,支撑有效"
000419.SZ,通程控股,☆缩量洗盘,6.42,-0.4651,0.78,连续缩量+地量+缩量,0.56,"上升趋势中缩量回调,支撑有效"
603950.SH,长源东谷,☆缩量洗盘,31.71,-0.502,0.48,连续缩量+地量+缩量,0.51,"上升趋势中缩量回调,支撑有效"
603759.SH,海天股份,☆缩量洗盘,11.86,-0.5034,0.45,连续缩量+地量+缩量,0.48,"上升趋势中缩量回调,支撑有效"
600805.SH,悦达投资,☆缩量洗盘,5.71,-0.5226,1.01,,0.5,"上升趋势中缩量回调,支撑有效"
600718.SH,东软集团,☆缩量洗盘,11.11,-0.5372,0.81,连续缩量+缩量,0.49,"上升趋势中缩量回调,支撑有效"
603989.SH,艾华集团,☆缩量洗盘,18.48,-0.5382,0.66,连续缩量+地量+缩量,0.57,"上升趋势中缩量回调,支撑有效"
600356.SH,恒丰纸业,☆缩量洗盘,9.15,-0.5435,0.87,连续缩量+地量+缩量,0.35,"上升趋势中缩量回调,支撑有效"
603111.SH,康尼机电,☆缩量洗盘,7.1,-0.5602,0.73,连续缩量+地量+缩量,0.35,"上升趋势中缩量回调,支撑有效"
000938.SZ,紫光股份,☆缩量洗盘,25.73,-0.5796,0.84,连续缩量+地量+缩量,0.22,"上升趋势中缩量回调,支撑有效"
603136.SH,天目湖,☆缩量洗盘,11.85,-0.5872,0.87,连续缩量+地量+缩量,0.28,"上升趋势中缩量回调,支撑有效"
600651.SH,飞乐音响,☆缩量洗盘,8.41,-0.591,0.78,连续缩量+缩量,0.61,"上升趋势中缩量回调,支撑有效"
002065.SZ,东华软件,☆缩量洗盘,9.99,-0.597,0.74,连续缩量+地量+缩量,0.31,"上升趋势中缩量回调,支撑有效"
600150.SH,中国船舶,☆缩量洗盘,34.69,-0.6017,0.94,,0.26,"上升趋势中缩量回调,支撑有效"
002239.SZ,奥特佳,☆缩量洗盘,3.3,-0.6024,0.49,连续缩量+地量+缩量,0.56,"上升趋势中缩量回调,支撑有效"
002439.SZ,启明星辰,☆缩量洗盘,14.77,-0.6057,0.69,连续缩量+地量+缩量,0.31,"上升趋势中缩量回调,支撑有效"
600571.SH,信雅达,☆缩量洗盘,16.37,-0.6072,0.78,连续缩量+地量+缩量,0.3,"上升趋势中缩量回调,支撑有效"
603313.SH,梦百合,☆缩量洗盘,9.82,-0.6073,0.7,缩量,0.65,"上升趋势中缩量回调,支撑有效"
603116.SH,红蜻蜓,☆缩量洗盘,6.39,-0.6221,0.88,连续缩量+地量+平量+缩量,0.61,"上升趋势中缩量回调,支撑有效"
600032.SH,浙江新能,☆缩量洗盘,7.96,-0.6242,0.78,地量+缩量,0.63,"上升趋势中缩量回调,支撑有效"
601016.SH,节能风电,☆缩量洗盘,3.18,-0.625,0.71,连续缩量+缩量,0.53,"上升趋势中缩量回调,支撑有效"
600894.SH,广日股份,☆缩量洗盘,9.47,-0.6296,0.78,连续缩量+地量+缩量,0.25,"上升趋势中缩量回调,支撑有效"
603055.SH,台华新材,☆缩量洗盘,9.31,-0.6403,0.81,连续缩量+地量+缩量,0.44,"上升趋势中缩量回调,支撑有效"
603611.SH,诺力股份,☆缩量洗盘,24.6,-0.6462,0.79,连续缩量+地量+缩量,0.34,"上升趋势中缩量回调,支撑有效"
002941.SZ,新疆交建,☆缩量洗盘,16.88,-0.6474,0.64,连续缩量+缩量,0.51,"上升趋势中缩量回调,支撑有效"
002743.SZ,富煌钢构,☆缩量洗盘,5.75,-0.6908,0.71,连续缩量+地量+缩量,0.58,"上升趋势中缩量回调,支撑有效"
600728.SH,佳都科技,☆缩量洗盘,7.11,-0.6983,0.71,连续缩量+缩量,0.49,"上升趋势中缩量回调,支撑有效"
603233.SH,大参林,☆缩量洗盘,19.8,-0.7021,0.72,连续缩量+缩量,0.64,"上升趋势中缩量回调,支撑有效"
002692.SZ,远程股份,☆缩量洗盘,5.61,-0.708,0.78,连续缩量+地量+缩量,0.42,"上升趋势中缩量回调,支撑有效"
