ts_code,name,list_date,delist_date
600110.SH,诺德股份,19971007,
600111.SH,北方稀土,19970924,
600113.SH,浙江东日,19971021,
600114.SH,东睦股份,20040511,
600115.SH,中国东航,19971105,
600116.SH,三峡水利,19970804,
600117.SH,西宁特钢,19971015,
600118.SH,中国卫星,19970908,
600119.SH,长江投资,19980115,
600120.SH,浙江东方,19971201,
600121.SH,郑州煤电,19980107,
600123.SH,兰花科创,19981217,
600125.SH,铁龙物流,19980511,
600126.SH,杭钢股份,19980311,
600127.SH,金健米业,19980506,
600128.SH,苏豪弘业,19970901,
600129.SH,太极集团,19971118,
600130.SH,*ST波导,20000706,
600131.SH,国网信通,19980402,
600132.SH,重庆啤酒,19971030,
600133.SH,东湖高新,19980212,
600135.SH,乐凯胶片,19980122,
600136.SH,ST明诚,19980303,
600137.SH,浪莎股份,19980416,
600138.SH,中青旅,19971203,
600141.SH,兴发集团,19990616,
600148.SH,长春一东,19980520,
600149.SH,廊坊发展,19991014,
600150.SH,中国船舶,19980520,
600151.SH,航天机电,19980605,
600152.SH,维科技术,19980609,
600153.SH,建发股份,19980616,
600155.SH,华创云信,19980918,
600156.SH,华升股份,19980527,
600157.SH,永泰能源,19980513,
600158.SH,中体产业,19980327,
600159.SH,大龙地产,19980526,
600160.SH,巨化股份,19980626,
600161.SH,天坛生物,19980616,
600162.SH,香江控股,19980609,
600163.SH,中闽能源,19980602,
600165.SH,ST宁科,19980529,
600166.SH,福田汽车,19980602,
600167.SH,联美控股,19990128,
600168.SH,武汉控股,19980427,
600169.SH,ST太重,19980904,
600170.SH,上海建工,19980623,
600171.SH,上海贝岭,19980924,
600172.SH,黄河旋风,19981126,
600173.SH,卧龙新能,19990415,
600176.SH,中国巨石,19990422,
600177.SH,雅戈尔,19981119,
600178.SH,东安动力,19981014,
600179.SH,安通控股,19981104,
600180.SH,瑞茂通,19980703,
600182.SH,XDS佳通,19990507,
600183.SH,生益科技,19981028,
600184.SH,光电股份,20031106,
600185.SH,珠免集团,19990611,
600186.SH,莲花控股,19980825,
600187.SH,国中水务,19981111,
600188.SH,兖矿能源,19980701,
600189.SH,泉阳泉,19981007,
600191.SH,华资实业,19981210,
600192.SH,长城电工,19981224,
600193.SH,*ST创兴,19990527,
600195.SH,中牧股份,19990107,
600196.SH,复星医药,19980807,
600197.SH,伊力特,19990916,
600198.SH,大唐电信,19981021,
600199.SH,金种子酒,19980812,
600201.SH,生物股份,19990115,
600202.SH,哈空调,19990603,
600203.SH,福日电子,19990514,
600206.SH,有研新材,19990319,
600207.SH,安彩高科,19990714,
600208.SH,衢州发展,19990623,
600210.SH,紫江企业,19990824,
600211.SH,西藏药业,19990721,
600212.SH,绿能慧充,19990817,
600215.SH,派斯林,19990909,
600216.SH,浙江医药,19991021,
600217.SH,中再资环,19991216,
600218.SH,全柴动力,19981203,
600219.SH,南山铝业,19991223,
600221.SH,海航控股,19991125,
600222.SH,太龙药业,19991105,
600223.SH,福瑞达,20000113,
600226.SH,亨通股份,19991116,
600227.SH,赤天化,20000221,
600228.SH,*ST返利,19990119,
600229.SH,城市传媒,20000309,
600230.SH,沧州大化,20000406,
600231.SH,凌钢股份,20000511,
600232.SH,金鹰股份,20000602,
600233.SH,圆通速递,20000608,
600234.SH,科新发展,20000615,
600235.SH,民丰特纸,20000615,
600236.SH,桂冠电力,20000323,
600237.SH,铜峰电子,20000609,
600238.SH,*ST椰岛,20000120,
600239.SH,云南城投,19991202,
600241.SH,时代万恒,20001128,
600243.SH,*ST海华,20001120,
600246.SH,万通发展,20000922,
600248.SH,陕建股份,20000622,
600249.SH,两面针,20040130,
600250.SH,南京商旅,20010306,
600251.SH,冠农股份,20030609,
600252.SH,中恒集团,20001130,
600255.SH,鑫科材料,20001122,
600256.SH,广汇能源,20000526,
600257.SH,大湖股份,20000612,
600258.SH,首旅酒店,20000601,
600259.SH,中稀有色,20000525,
600261.SH,阳光照明,20000720,
600262.SH,北方股份,20000630,
600265.SH,ST景谷,20000825,
600266.SH,城建发展,19990203,
600267.SH,海正药业,20000725,
600268.SH,国电南自,19991118,
600269.SH,赣粤高速,20000518,
600271.SH,航天信息,20030711,
600272.SH,开开实业,20010228,
600273.SH,嘉化能源,20030627,
600276.SH,恒瑞医药,20001018,
600278.SH,东方创业,20000712,
600279.SH,重庆港,20000731,
600280.SH,中央商场,20000926,
600281.SH,华阳新材,20001109,
600282.SH,南钢股份,20000919,
600283.SH,钱江水利,20001018,
600284.SH,浦东建设,20040316,
600285.SH,羚锐制药,20001018,
600287.SH,苏豪时尚,20000901,
600288.SH,大恒科技,20001129,
600289.SH,ST信通,20000720,
600292.SH,电投水电,20001101,
600293.SH,三峡新材,20000919,
600295.SH,鄂尔多斯,20010426,
600298.SH,安琪酵母,20000818,
600299.SH,安迪苏,20000420,
600300.SH,维维股份,20000630,
600301.SH,华锡有色,20000712,
600302.SH,标准股份,20001213,
600303.SH,曙光股份,20001226,
600305.SH,恒顺醋业,20010206,
600307.SH,酒钢宏兴,20001220,
600308.SH,华泰股份,20000928,
600309.SH,万华化学,20010105,
600310.SH,广西能源,20010228,
600312.SH,平高电气,20010221,
600313.SH,农发种业,20010119,
600315.SH,上海家化,20010315,
600316.SH,洪都航空,20001215,
600318.SH,新力金融,20001208,
600319.SH,亚星化学,20010326,
600320.SH,振华重工,20001221,
600322.SH,津投城开,20010910,
600323.SH,瀚蓝环境,20001225,
600325.SH,华发股份,20040225,
600326.SH,西藏天路,20010116,
600327.SH,大东方,20020625,
600328.SH,中盐化工,20001222,
600329.SH,达仁堂,20010606,
600330.SH,天通股份,20010118,
600331.SH,宏达股份,20011220,
600332.SH,白云山,20010206,
600333.SH,长春燃气,20001211,
600335.SH,国机汽车,20010305,
600336.SH,澳柯玛,20001229,
600337.SH,美克家居,20001127,
600338.SH,西藏珠峰,20001227,
600339.SH,中油工程,20001225,
600340.SH,华夏幸福,20031230,
600343.SH,航天动力,20030408,
600345.SH,长江通信,20001222,
600346.SH,恒力石化,20010820,
600348.SH,华阳股份,20030821,
600350.SH,山东高速,20020318,
600351.SH,亚宝药业,20020926,
600352.SH,浙江龙盛,20030801,
600353.SH,旭光电子,20021120,
600354.SH,敦煌种业,20040115,
600355.SH,*ST精伦,20020613,
600356.SH,恒丰纸业,20010419,
600358.SH,ST联合,20000922,
600359.SH,新农开发,19990429,
600360.SH,*ST华微,20010316,
600361.SH,创新新材,20011129,
600362.SH,江西铜业,20020111,
600363.SH,联创光电,20010329,
600365.SH,ST通葡,20010115,
600366.SH,宁波韵升,20001030,
600367.SH,红星发展,20010320,
600368.SH,五洲交通,20001221,
600369.SH,西南证券,20010109,
600370.SH,三房巷,20030306,
600371.SH,万向德农,20020916,
600372.SH,中航机载,20010706,
600373.SH,中文传媒,20020304,
600375.SH,汉马科技,20030401,
600376.SH,首开股份,20010312,
600377.SH,宁沪高速,20010116,
600378.SH,昊华科技,20010111,
600379.SH,宝光股份,20020116,
600380.SH,健康元,20010608,
600381.SH,*ST春天,20010508,
600382.SH,广东明珠,20010118,
600383.SH,金地集团,20010412,
600386.SH,北巴传媒,20010216,
600388.SH,龙净环保,20001229,
600389.SH,江山股份,20010110,
600390.SH,五矿资本,20010115,
600391.SH,航发科技,20011212,
600392.SH,盛和资源,20030529,
600395.SH,盘江股份,20010531,
600396.SH,华电辽能,20010328,
600397.SH,江钨装备,20020702,
600398.SH,海澜之家,20001228,
600399.SH,抚顺特钢,20001229,
600400.SH,红豆股份,20010108,
600403.SH,大有能源,20031009,
600405.SH,动力源,20040401,
600406.SH,国电南瑞,20031016,
600408.SH,安泰集团,20030212,
600409.SH,三友化工,20030618,
600410.SH,华胜天成,20040427,
600415.SH,小商品城,20020509,
600416.SH,湘电股份,20020718,
600418.SH,江淮汽车,20010824,
600419.SH,天润乳业,20010628,
600420.SH,国药现代,20040616,
600421.SH,*ST华嵘,20040607,
600422.SH,昆药集团,20001206,
600423.SH,柳化股份,20030717,
600425.SH,青松建化,20030724,
600426.SH,华鲁恒升,20020620,
600428.SH,中远海特,20020418,
600429.SH,三元股份,20030915,
600433.SH,冠豪高新,20030619,
600435.SH,北方导航,20030704,
600436.SH,片仔癀,20030616,
600438.SH,通威股份,20040302,
600439.SH,瑞贝卡,20030710,
600444.SH,国机通用,20040219,
600446.SH,金证股份,20031224,
600448.SH,华纺股份,20010903,
600449.SH,宁夏建材,20030829,
600452.SH,涪陵电力,20040303,
600455.SH,博通股份,20040329,
600456.SH,宝钛股份,20020412,
600458.SH,时代新材,20021219,
600459.SH,贵研铂业,20030516,
600460.SH,士兰微,20030311,
600461.SH,洪城环境,20040601,
600463.SH,空港股份,20040318,
600467.SH,好当家,20040405,
600468.SH,百利电气,20010615,
600469.SH,风神股份,20031021,
600470.SH,六国化工,20040305,
600475.SH,华光环能,20030721,
600476.SH,湘邮科技,20031210,
600477.SH,杭萧钢构,20031110,
600478.SH,科力远,20030918,
600479.SH,千金药业,20040312,
600480.SH,凌云股份,20030815,
600481.SH,双良节能,20030422,
600483.SH,福能股份,20040531,
600486.SH,扬农化工,20020425,
600487.SH,亨通光电,20030822,
600488.SH,津药药业,20010618,
600489.SH,中金黄金,20030814,
600490.SH,鹏欣资源,20030626,
600491.SH,龙元建设,20040524,
600493.SH,凤竹纺织,20040421,
600495.SH,晋西车轴,20040526,
600496.SH,精工钢构,20020605,
600497.SH,驰宏锌锗,20040420,
600498.SH,烽火通信,20010823,
600499.SH,科达制造,20021010,
600500.SH,中化国际,20000301,
600501.SH,航天晨光,20010615,
600502.SH,安徽建工,20030415,
600503.SH,华丽家族,20020709,
600505.SH,西昌电力,20020530,
600506.SH,统一股份,20011226,
600507.SH,方大特钢,20030930,
600508.SH,上海能源,20010829,
600509.SH,天富能源,20020228,
600510.SH,黑牡丹,20020618,
600511.SH,国药股份,20021127,
600512.SH,腾达建设,20021226,
600513.SH,联环药业,20030319,
600515.SH,海南机场,20020806,
600516.SH,方大炭素,20020830,
600517.SH,国网英大,20031010,
600518.SH,康美药业,20010319,
600519.SH,贵州茅台,20010827,
600520.SH,三佳科技,20020108,
600521.SH,华海药业,20030304,
600522.SH,中天科技,20021024,
600523.SH,贵航股份,20011227,
600525.SH,ST长园,20021202,
600526.SH,菲达环保,20020722,
600527.SH,江南高纤,20031127,
600528.SH,中铁工业,20010528,
600529.SH,山东药玻,20020603,
600530.SH,交大昂立,20010702,
600531.SH,豫光金铅,20020730,
